name,Q,n_points,v_chi2,v_chi2_dof,v_bic,v_A,v_rc,v_ups,n_chi2,n_chi2_dof,n_bic,n_A,n_rc,n_ups,delta_bic
UGC06917,1,11,9.9737,1.2467,17.17,133.2000,5.0000,1.0000,24.8299,3.1037,32.02,177.2892,11.7128,1.0206,5904.10
UGC06923,2,6,1.8473,0.6158,7.22,97.3200,2.0000,0.4000,9.8194,3.2731,15.19,129.5329,6.6550,0.7290,5904.10
UGC06930,1,10,2.6323,0.3760,9.54,87.2000,1.8000,1.0000,7.5058,1.0723,14.41,143.8800,11.7128,1.4000,5904.10
UGC06973,3,9,111.1539,18.5256,117.75,216.0000,0.9000,0.0000,31.4899,5.2483,38.08,313.0831,7.0567,0.2000,5904.10
UGC06983,1,17,10.4501,0.7464,18.95,99.4400,2.2000,1.2600,34.1815,2.4415,42.68,164.0760,9.6800,1.6200,5904.10
UGC07089,2,12,2.4671,0.2741,9.92,85.4280,4.5000,0.7200,18.9002,2.1000,26.35,104.4120,10.6480,0.8000,5904.10
UGC07125,1,13,9.5948,0.9595,17.29,52.4800,3.3000,1.0000,21.1344,2.1134,28.83,95.2512,12.8841,0.9000,5904.10
UGC07151,1,11,8.2403,1.0300,15.43,67.0560,1.1000,0.8000,27.6935,3.4617,34.89,90.5256,9.6800,1.4000,5904.10
UGC07261,2,7,2.2019,0.5505,8.04,60.8800,0.5500,0.8000,4.1359,1.0340,9.97,110.4972,4.3923,1.1340,5904.10
UGC07323,1,10,3.7970,0.5424,10.70,102.7200,5.5000,1.0000,19.4300,2.7757,26.34,0.0000,0.3000,1.4000,5904.10
UGC07399,1,10,14.7823,2.1118,21.69,127.2000,2.0000,2.0000,55.2346,7.8907,62.14,169.3032,3.8974,1.9406,5904.10
UGC07524,1,31,17.1819,0.6136,27.48,67.0400,2.2000,1.5400,60.9138,2.1755,71.22,100.5600,10.6480,2.2000,5904.10
UGC07559,2,7,0.4669,0.1167,6.30,38.5200,1.1000,0.3500,4.9747,1.2437,10.81,62.0368,8.0525,0.9185,5904.10
UGC07577,2,9,0.4499,0.0750,7.04,21.3600,0.9900,0.0500,1.7503,0.2917,8.34,23.4960,5.8462,0.5000,5904.10
UGC07603,1,12,5.8511,0.6501,13.31,76.8000,1.0000,0.4500,22.0728,2.4525,29.53,136.0559,5.2089,0.5649,5904.10
UGC07608,1,8,0.9164,0.1833,7.15,83.1600,2.0000,1.8000,7.5586,1.5117,13.80,133.9300,10.3568,3.0941,5904.10
UGC07690,2,7,1.3200,0.3300,7.16,48.5600,0.5000,0.8000,3.4107,0.8527,9.25,80.1240,2.4200,1.0000,5904.10
